Question,Equation,Answer,Numbers
a transport company bought number0 tons of oil . a large barrel can hold number1 tons of oil and a small barrel can hold number2 tons of oil . in order to use the least number of barrels and have every barrel fully occupied how many large barrels should be used ?,/ number0 number1,15.8333333333,95.0 6.0 5.0
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,- + number0 number1 number2,45.0,15.0 49.0 19.0
Lisa flew number0 miles at number1 miles per hour . How long did Lisa fly ?,/ number0 number1,8.0,256.0 32.0
on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before . how many raisins were on the table on monday ?,- number0 number1,80.0,88.0 8.0
"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?",/ number0 number1,5.0,25.0 5.0
victor and his friend were buying trick decks from the magic shop for number0 dollars each . how much did they spend if victor bought number1 decks and his friend bought number2 decks ?,* + number1 number2 number0,64.0,8.0 6.0 2.0
"Michael has number0 blocks stored in boxes . If there are number1 boxes , how many blocks must go in each box ?",/ number0 number1,2.0,16.0 8.0
emily owned number0 songs by her favorite artists . later on she bought number1 more songs . how many songs did she have totaled ?,+ number0 number1,13.0,6.0 7.0
There are number0 marbles in each box . How many marbles are in number1 boxes ?,* number0 number1,18.0,6.0 3.0
number0 students signed up for computer classes . there were number1 second graders and number2 third graders . the rest of the students were number3 graders . how many number4 graders took computer classes ?,- - number0 number1 number2,41.0,94.0 24.0 29.0 4.0 4.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,43.0,4.0 3.0 42.0
a washing machine can wash number0 pounds of clothes per day . if there are number1 pounds of clothes to be washed per day how many washing machines are needed ?,/ number1 number0,7.1428571429,28.0 200.0
number0 students are forming teams for a mountaineering competition . each team should have number1 students . how many teams can they form ?,/ number0 number1,9.5555555556,172.0 18.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Emily sold all but number2 bars , how much money would she have made ?",* - number1 number2 number0,20.0,4.0 8.0 3.0
Nancy has saved number0 cents from selling lemonade . How many dollars does Nancy have ?,/ number0 100.0,49.0,4900.0
For the school bake sale Wendy made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,- + number0 number1 number2,9.0,4.0 29.0 24.0
"Sandy worked number0 hours in the last number1 days . Assuming that she worked the same amount of hours each day , how long did she work each day ?",/ number0 number1,9.0,45.0 5.0
William starts with number0 tickets . He buys number1 more . How many tickets does William end with ?,+ number0 number1,18.0,15.0 3.0
"Will bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Will still have ?",* - number0 number1 number2,16.0,7.0 3.0 4.0
There are number0 oranges in a box . Jonathan takes number1 oranges . How many are left ?,- number0 number1,51.0,96.0 45.0
a tape was number0 meters long . haley used some to seal cartons . now the tape is number1 meters long . how much tape did she use ?,- number0 number1,7.0,13.0 6.0
"Janet was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",- + number0 number2 number1,54.0,38.0 16.0 32.0
adam picked number0 strawberries . after eating some he had number1 left . how many strawberries did adam eat ?,- number0 number1,2.0,35.0 33.0
There are number0 pencils in the drawer and number1 pencils on the desk . Dan placed number2 pencils on the desk . How many pencils are now there in total ?,+ + number0 number1 number2,78,43.0 19.0 16.0
bruno had some story books . he lost number0 of them and his dad gave him number1 more books . if he had number2 books after that how many books did bruno have at first ?,+ - number2 number1 number0,33.0,4.0 10.0 39.0
"For the school bake sale Carol made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",- + number0 number2 number1,40.0,19.0 6.0 27.0
edward started his own lawn mowing business . in the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . if he had to spend number2 dollars buying supplies how much money did he end up with ?,- + number0 number1 number2,24.0,2.0 27.0 5.0
George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case . How many blocks does George have ?,* number0 number1,12.0,2.0 6.0 5.0
the wildcats scored number0 points in the first half of the game . the panthers scored number1 points . how many more points did the wildcats score ?,- number0 number1,19.0,36.0 17.0
"Tori is a school janitor . Last week , she picked up a total of number0 pieces of trash . If she picked up number1 pieces of trash in the classrooms , how many pieces of trash did Tori pick up outside the classrooms ?",- number0 number1,1232.0,1576.0 344.0
Marcus has number0 baseball cards . He has number1 more than Carter . How many baseball cards does Carter have ?,- number0 number1,152.0,210.0 58.0
"Joan grew number0 pumpkins , Keith grew number1 pumpkins , and Alyssa grew number2 pumpkins . They worked for number3 days on the farm . How many pumpkins did they grow in all ?",+ + number0 number1 number2,79,24.0 42.0 13.0 34.0
"Heather went to the county fair last weekend . When she got there , she had to walk number0 mile from the car to the entrance . Then she walked number1 mile to the carnival rides and number2 mile from the carnival rides back to the car . How many miles did Heather walk in all ?",+ + number0 number1 number2,0.75,0.3333333333333333 0.3333333333333333 0.08333333333333333
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",/ - number0 number1 number2,4.0,44.0 12.0 8.0
"Edward bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets , how many rides could he go on ?",/ - number0 number1 number2,8.0,79.0 23.0 7.0
"Nancy grew number0 onions , Dan grew number1 onions , and Mike grew number2 onions . They worked for number3 days on the farm . How many onions did they grow in total ?",+ + number0 number1 number2,15,2.0 9.0 4.0 6.0
kelly has number0 nintendo games . how many does she need to give away so that she will have number1 games left ?,- number0 number1,99.0,121.0 22.0
A restaurant served number0 hot dogs during lunch and number1 during dinner today . It served number2 of them yesterday . How many hot dogs were served today ?,+ number0 number1,11,9.0 2.0 5.0
A restaurant served number0 cakes during lunch and number1 during dinner today . The restaurant served number2 cakes yesterday . How many cakes were served in total ?,+ + number0 number1 number2,14.0,5.0 6.0 3.0
Mary picked number0 oranges and Jason picked number1 oranges from the orange tree . How many oranges were picked in total ?,+ number0 number1,227.0,122.0 105.0
"Tom was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it , how many coins did he have total ?",* + number0 number1 number2,30.0,2.0 4.0 5.0
ted and fred measured their height . their total height is number0 inches . ted is number1 inches tall . how tall is fred ?,- number0 number1,59.0,98.0 39.0
